"number";"r IL_meas";"i IL_meas"
1148;1.23729;0
1149;1.24964;0
1150;1.23681;0
1151;1.14962;0
1152;1.18315;0
1153;1.064;0
1154;1.2431;0
1155;1.12305;0
1156;1.25616;0
1157;1.18841;0
1158;1.38341;0
1159;1.08092;0
1160;1.07377;0
1161;1.20736;0
1162;1.1959;0
1163;1.19833;0
1164;1.29203;0
1165;1.29791;0
1166;1.29266;0
1167;1.22207;0
1168;1.32784;0
1169;1.23504;0
1170;1.33532;0
1171;1.16649;0
1172;1.14099;0
1173;1.15123;0
1174;1.32396;0
1175;1.2718;0
1176;1.02164;0
1177;1.06418;0
1178;1.35631;0
1179;1.20742;0
1180;1.19628;0
1181;1.16256;0
1182;1.26077;0
1183;1.10967;0
1184;1.2222;0
1185;1.25782;0
1186;1.11868;0
1187;1.3421;0
1188;1.32504;0
1189;1.24985;0
1190;1.30076;0
1191;1.29362;0
1192;1.24902;0
1193;1.10735;0
1194;1.23929;0
1195;1.372;0
1196;1.14428;0
1197;1.20616;0
1198;0.997239;0
1199;1.41653;0
1200;1.32174;0
1201;1.2313;0
1202;1.09072;0
1203;1.28002;0
1204;1.263;0
1205;1.12521;0
1206;1.15574;0
1207;1.33437;0
1208;1.1475;0
1209;1.241;0
1210;1.27318;0
1211;1.04894;0
1212;1.31693;0
1213;1.15937;0
1214;1.28951;0
1215;1.4682;0
1216;1.33878;0
1217;1.00712;0
1218;1.18775;0
1219;1.10151;0
1220;1.05391;0
1221;1.25189;0
1222;1.22629;0
1223;1.2408;0
1224;1.28982;0
1225;1.19508;0
1226;1.06766;0
1227;1.19548;0
1228;1.1351;0
1229;1.28327;0
1230;1.28609;0
1231;1.17926;0
1232;1.30692;0
1233;1.30429;0
1234;1.34279;0
1235;1.26594;0
1236;1.30078;0
1237;1.18142;0
1238;1.08701;0
1239;1.26861;0
1240;1.24071;0
1241;1.23133;0
1242;1.22517;0
1243;1.16481;0
1244;1.12228;0
1245;1.18006;0
1246;1.06451;0
1247;1.07259;0
1248;1.3339;0
1249;1.21059;0
1250;1.16736;0
1251;1.18168;0
1252;1.03914;0
1253;1.26466;0
1254;1.30276;0
1255;1.26187;0
1256;1.23688;0
1257;1.20101;0
1258;1.20813;0
1259;1.05441;0
1260;1.22869;0
1261;1.29709;0
1262;1.30761;0
1263;1.2218;0
1264;1.08792;0
1265;1.4762;0
1266;1.17717;0
1267;1.14254;0
1268;1.2508;0
1269;1.31436;0
1270;1.50493;0
1271;1.03741;0
1272;1.1752;0
1273;1.22048;0
1274;1.17813;0
1275;1.14487;0
1276;1.24969;0
1277;1.18362;0
1278;1.06839;0
1279;1.14117;0
1280;1.14815;0
1281;1.22404;0
1282;1.25503;0
1283;1.12655;0
1284;1.24824;0
1285;1.01743;0
1286;1.34623;0
1287;1.11884;0
1288;1.2058;0
1289;1.17853;0
1290;1.00535;0
1291;1.12338;0
1292;1.11166;0
1293;1.26999;0
1294;1.17711;0
1295;1.21592;0
1296;1.1833;0
1297;1.22074;0
1298;1.4699;0
1299;1.01027;0
1300;1.27365;0
1301;1.11033;0
1302;1.2608;0
1303;1.24182;0
1304;1.19799;0
1305;1.34006;0
1306;1.379;0
1307;1.37853;0
1308;1.08805;0
1309;1.09649;0
1310;1.20713;0
1311;1.36346;0
1312;1.12461;0
1313;1.1288;0
1314;1.31414;0
1315;1.20824;0
1316;1.22795;0
1317;1.17976;0
1318;1.27651;0
1319;1.44557;0
1320;1.20285;0
1321;1.07774;0
1322;1.32039;0
1323;1.25547;0
1324;1.37331;0
1325;1.17144;0
1326;1.34529;0
1327;1.15956;0
1328;1.1065;0
1329;1.31333;0
1330;1.15818;0
1331;1.31055;0
1332;1.26409;0
1333;1.20746;0
1334;1.20135;0
1335;1.23011;0
1336;1.00558;0
1337;1.1153;0
1338;1.30132;0
1339;1.43294;0
1340;1.3859;0
1341;1.47271;0
1342;1.2234;0
1343;1.07097;0
1344;1.29497;0
1345;1.11361;0
1346;1.24118;0
1347;1.27635;0
1348;1.02456;0
1349;1.18156;0
1350;1.03255;0
1351;1.10443;0
1352;1.24553;0
1353;1.23347;0
1354;1.11917;0
1355;1.42264;0
1356;1.34271;0
1357;1.27219;0
1358;1.15865;0
1359;1.15812;0
1360;1.41529;0
1361;1.16741;0
1362;1.12937;0
1363;1.1994;0
1364;1.29092;0
1365;1.05684;0
1366;1.25964;0
1367;1.22488;0
1368;1.08484;0
1369;1.13736;0
1370;1.20105;0
1371;1.07743;0
1372;1.15334;0
1373;1.15028;0
1374;1.11482;0
1375;1.10943;0
1376;1.15779;0
1377;1.21468;0
1378;1.4093;0
1379;1.0957;0
1380;1.06434;0
1381;1.26356;0
1382;1.22069;0
1383;1.20439;0
1384;1.1286;0
1385;1.11669;0
1386;1.09766;0
1387;1.24769;0
1388;1.41304;0
1389;1.12716;0
1390;1.09266;0
1391;1.34889;0
1392;1.11695;0
1393;1.14111;0
1394;1.2746;0
1395;1.31217;0
1396;1.30944;0
1397;1.09203;0
1398;1.18429;0
1399;1.37787;0
1400;1.18536;0
1401;1.18497;0
1402;1.10107;0
1403;1.23113;0
1404;0.971249;0
1405;1.18661;0
1406;1.25767;0
1407;1.49048;0
1408;1.26412;0
1409;1.21201;0
1410;1.28782;0
1411;1.12155;0
1412;1.07298;0
1413;1.27285;0
1414;1.34825;0
1415;1.15958;0
1416;1.2391;0
1417;1.00084;0
1418;1.09569;0
1419;1.29263;0
1420;1.05851;0
1421;1.14063;0
1422;1.21443;0
1423;1.15564;0
1424;1.24343;0
1425;1.26456;0
1426;1.3063;0
1427;1.20198;0
1428;1.16645;0
1429;1.33586;0
1430;1.1387;0
1431;1.19735;0
1432;1.10478;0
1433;1.21138;0
1434;1.07088;0
1435;1.38132;0
1436;1.15901;0
1437;1.20678;0
1438;1.25568;0
1439;1.1806;0
1440;1.12845;0
1441;1.44189;0
1442;1.05213;0
1443;1.32591;0
1444;1.26962;0
1445;1.18944;0
1446;1.14378;0
1447;1.23837;0
1448;1.0801;0
1449;1.07042;0
1450;1.15382;0
1451;1.22876;0
1452;1.20094;0
1453;1.24816;0
1454;1.04802;0
1455;1.15905;0
1456;0.984581;0
1457;1.09936;0
1458;1.09925;0
1459;1.14488;0
1460;1.07579;0
1461;1.24173;0
1462;1.20943;0
1463;1.42286;0
1464;0.985785;0
1465;1.37232;0
1466;1.18229;0
1467;1.20151;0
1468;1.20961;0
