"number";"r IL_meas";"i IL_meas"
844;0.761683;0
845;1.15118;0
846;0.703026;0
847;1.43604;0
848;1.48492;0
849;0.765793;0
850;1.19392;0
851;0.950648;0
852;1.10036;0
853;0.778707;0
854;0.82615;0
855;1.05642;0
856;1.09682;0
857;0.494501;0
858;0.944773;0
859;1.265;0
860;0.977425;0
861;0.962427;0
862;1.16586;0
863;1.72341;0
864;0.977696;0
865;0.771436;0
866;1.02511;0
867;0.961752;0
868;1.92354;0
869;1.72586;0
870;1.09685;0
871;0.785574;0
872;1.16876;0
873;0.79811;0
874;0.86966;0
875;1.25623;0
876;1.19147;0
877;1.08094;0
878;0.7348;0
879;1.80615;0
880;1.02389;0
881;1.377;0
882;0.653208;0
883;0.857456;0
884;1.27609;0
885;1.29226;0
886;1.01414;0
887;0.758881;0
888;0.860514;0
889;1.03386;0
890;0.914178;0
891;0.796198;0
892;1.21487;0
893;1.22448;0
894;0.940166;0
895;1.23835;0
896;1.18692;0
897;0.929173;0
898;1.02523;0
899;0.823244;0
900;0.828836;0
901;1.19953;0
902;1.58113;0
903;0.743824;0
904;1.13245;0
905;1.28486;0
906;1.20611;0
907;0.944719;0
908;0.94431;0
909;0.841259;0
910;1.19763;0
911;0.981456;0
912;0.623867;0
913;0.89892;0
914;1.41983;0
915;0.80992;0
916;0.794926;0
917;1.21053;0
918;1.05452;0
919;0.620591;0
920;0.722305;0
921;1.15644;0
922;0.733024;0
923;1.49883;0
924;1.26069;0
925;0.980021;0
926;0.658071;0
927;1.35871;0
928;1.18284;0
929;0.607404;0
930;1.22175;0
931;1.29506;0
932;1.31589;0
933;1.90572;0
934;1.04067;0
935;1.12933;0
936;0.843351;0
937;0.895382;0
938;0.993247;0
939;1.09149;0
940;0.643293;0
941;1.02778;0
942;0.967672;0
943;0.833829;0
944;0.876182;0
945;1.24965;0
946;0.617031;0
947;0.935672;0
948;1.102;0
949;0.969886;0
950;1.31722;0
951;0.869515;0
952;0.823123;0
953;1.20383;0
954;0.980677;0
955;0.958178;0
956;1.35941;0
957;1.12709;0
958;1.66513;0
959;0.782535;0
960;0.933567;0
961;0.703683;0
962;0.909233;0
963;1.01702;0
964;1.35406;0
965;0.887889;0
966;1.20792;0
967;0.921737;0
968;1.11301;0
969;1.10728;0
970;1.27668;0
971;0.811775;0
972;0.61328;0
973;1.79457;0
974;1.08068;0
975;1.27404;0
976;0.937202;0
977;0.955488;0
978;1.30013;0
979;1.01909;0
980;0.749838;0
981;1.20236;0
982;0.903314;0
983;1.10732;0
984;0.774371;0
985;1.23832;0
986;0.953429;0
987;1.06849;0
988;1.01766;0
989;1.62749;0
990;1.66155;0
991;0.843551;0
992;0.8102;0
993;1.18194;0
994;0.768182;0
995;1.40552;0
996;1.18208;0
997;0.909058;0
998;1.07234;0
999;0.875838;0
1000;0.898509;0
1001;0.859036;0
1002;1.08492;0
1003;1.29395;0
1004;1.10425;0
1005;0.787487;0
1006;1.23433;0
1007;0.931769;0
1008;0.713657;0
1009;1.1128;0
1010;1.07173;0
1011;0.701225;0
1012;1.04706;0
1013;0.677511;0
1014;0.978218;0
1015;0.716157;0
1016;1.13007;0
1017;1.04007;0
1018;0.688656;0
1019;0.72683;0
1020;1.00382;0
1021;1.13623;0
1022;1.1628;0
1023;0.984231;0
1024;1.30319;0
1025;0.91635;0
1026;1.26024;0
1027;0.977148;0
1028;1.47192;0
1029;1.25459;0
1030;0.93152;0
1031;1.20874;0
1032;0.74997;0
1033;1.00422;0
1034;1.42138;0
1035;0.863507;0
1036;0.976159;0
1037;1.00997;0
1038;0.959926;0
1039;0.716333;0
1040;0.998921;0
1041;0.984925;0
1042;1.15659;0
1043;1.13116;0
1044;1.06509;0
1045;0.81022;0
1046;0.842933;0
1047;1.14875;0
1048;1.03238;0
1049;1.52041;0
1050;0.997962;0
1051;1.70226;0
1052;1.51371;0
1053;0.833718;0
1054;1.10324;0
1055;0.946049;0
1056;1.38199;0
1057;0.967366;0
1058;1.05894;0
1059;1.16317;0
1060;1.14523;0
1061;0.857312;0
1062;1.21098;0
1063;1.18864;0
1064;0.823489;0
1065;0.617884;0
1066;1.06988;0
1067;0.938121;0
1068;0.77288;0
1069;1.02468;0
1070;1.26307;0
1071;1.08182;0
1072;1.54345;0
1073;1.08237;0
1074;0.86886;0
1075;0.796975;0
1076;1.07303;0
1077;0.687386;0
1078;1.81107;0
1079;0.982678;0
1080;1.04025;0
1081;1.43211;0
1082;0.732506;0
1083;0.73738;0
1084;1.04398;0
1085;1.02766;0
1086;0.979628;0
1087;0.960363;0
1088;0.7369;0
1089;1.18455;0
1090;1.38561;0
1091;0.70316;0
1092;1.11192;0
1093;1.14424;0
1094;1.38759;0
1095;0.773388;0
1096;0.793299;0
1097;0.865824;0
