"x";"r (yvalue(ic.Ib, fs)/(x*Ut))/gm";"i (yvalue(ic.Ib, fs)/(x*Ut))/gm"
1.55154;0.760885;-1.57228e-16
1.58769;0.754193;9.38959e-17
1.62468;0.747359;-1.001e-16
1.66254;0.740386;4.07586e-17
1.70127;0.733277;-1.35424e-16
1.74091;0.726035;8.56322e-17
1.78147;0.718664;3.043e-17
1.82298;0.711167;5.94743e-17
1.86545;0.703551;2.90601e-17
1.90891;0.695818;4.96973e-17
1.95339;0.687975;-2.42829e-16
1.9989;0.680027;2.712e-17
2.04547;0.671979;-1.0601e-16
2.09313;0.663837;-1.87769e-16
2.14189;0.655608;3.16368e-17
2.1918;0.647298;6.80163e-17
2.24286;0.638914;5.43826e-17
2.29512;0.630463;5.31445e-17
2.34859;0.621952;-1.84656e-16
2.40331;0.613387;-6.76693e-17
2.4593;0.604778;-9.91929e-17
2.5166;0.596129;3.76968e-17
2.57523;0.58745;4.21011e-17
2.63523;0.578748;3.59997e-17
2.69663;0.57003;-2.31183e-16
2.75946;0.561302;-1.71895e-16
2.82375;0.552574;3.35963e-17
2.88954;0.543851;-1.40706e-16
2.95686;0.535141;-3.66673e-17
3.02575;0.52645;-5.82278e-17
3.09625;0.517786;-1.35689e-16
3.16839;0.509154;1.28323e-17
3.24221;0.500561;4.18003e-17
3.31775;0.492013;-2.8594e-17
3.39505;0.483516;-2.03585e-16
3.47415;0.475074;-2.4186e-16
3.55509;0.466694;1.90607e-17
3.63792;0.45838;-1.41563e-16
3.72268;0.450137;-1.71105e-16
3.80941;0.441968;2.13459e-17
3.89816;0.433878;-1.49496e-16
3.98898;0.425871;-5.09623e-17
4.08192;0.41795;-1.09564e-16
4.17703;0.410118;2.27118e-17
4.27434;0.402377;-3.17067e-17
4.37393;0.394731;-6.19696e-17
4.47584;0.387181;-3.93631e-17
4.58012;0.37973;-8.43312e-17
4.68683;0.372378;-7.08447e-17
4.79603;0.365129;-1.41289e-17
4.90777;0.357982;-7.59397e-17
5.02211;0.350939;-8.36557e-17
5.13912;0.344001;-8.70253e-17
5.25885;0.337168;-1.43028e-16
5.38138;0.33044;-1.19625e-16
5.50676;0.323819;1.72275e-17
5.63506;0.317304;-1.7196e-16
5.76635;0.310895;-3.17288e-17
5.90069;0.304591;-1.27471e-16
6.03817;0.298393;-1.02124e-16
6.17885;0.292301;-1.30506e-16
6.32281;0.286313;-7.1805e-17
6.47012;0.280429;-1.85375e-16
6.62087;0.274648;-1.78084e-16
6.77513;0.26897;-3.70062e-17
6.93298;0.263393;-3.81184e-17
7.09451;0.257917;-8.30974e-17
7.2598;0.252541;-2.14681e-17
7.42894;0.247264;-8.93901e-17
7.60203;0.242084;-1.11422e-16
7.77914;0.237001;-8.44948e-17
7.96039;0.232013;-1.95787e-17
8.14585;0.22712;-1.05647e-16
8.33564;0.222319;-6.74729e-17
8.52985;0.217611;-1.19163e-18
8.72858;0.212993;-2.83361e-17
8.93195;0.208464;-7.24515e-17
9.14005;0.204024;-7.37675e-17
9.353;0.19967;-8.65779e-17
9.57091;0.195402;-8.14207e-17
9.7939;0.191218;-2.4216e-17
10.0221;0.187117;-1.70047e-16
10.2556;0.183097;-1.17281e-16
10.4945;0.179158;-3.32533e-17
10.739;0.175298;-2.52397e-17
10.9892;0.171515;-1.33191e-16
11.2453;0.167809;-5.96562e-17
11.5073;0.164178;-7.19891e-17
11.7754;0.160621;-5.30862e-17
12.0497;0.157137;-3.36009e-17
12.3305;0.153724;-4.49261e-17
12.6178;0.150381;-1.11436e-16
12.9117;0.147107;-4.04107e-17
13.2126;0.1439;-3.15412e-17
13.5204;0.14076;-6.00173e-17
13.8354;0.137685;-1.05792e-16
14.1577;0.134674;-9.56055e-17
14.4876;0.131726;-7.85199e-17
14.8251;0.12884;-7.42182e-17
15.1705;0.126014;-8.30252e-17
15.524;0.123248;-5.92552e-17
15.8857;0.12054;-3.3432e-17
16.2558;0.117889;-8.68615e-17
16.6345;0.115294;-6.59416e-17
17.0221;0.112754;-5.64038e-17
17.4187;0.110268;-4.58803e-17
17.8245;0.107835;-3.64721e-17
18.2398;0.105454;-4.85284e-17
18.6648;0.103124;-3.45352e-17
19.0996;0.100843;-8.55253e-17
19.5446;0.0986114;-7.62647e-17
20;0.0964275;-9.65088e-17
